Date,Size,Type,Mode,UID,GID,Meta,File Name
Mon May 14 2018 11:02:17,0,.a.b,-/rrw-------,1000,1000,327439,"/$OrphanFiles/OrphanFile-327439 (deleted)"
Mon May 14 2018 11:02:21,0,.a.b,-/rrw-------,1000,1000,327387,"/$OrphanFiles/OrphanFile-327387 (deleted)"
Mon May 14 2018 11:02:21,0,.a.b,-/rrw-------,1000,1000,327494,"/$OrphanFiles/OrphanFile-327494 (deleted)"
Mon May 14 2018 11:02:21,0,.a.b,-/rrw-------,1000,1000,327501,"/$OrphanFiles/OrphanFile-327501 (deleted)"
Mon May 14 2018 11:02:24,0,.a.b,-/rrw-------,1000,1000,327477,"/$OrphanFiles/OrphanFile-327477 (deleted)"
Mon May 14 2018 11:02:24,0,.a.b,-/rrw-------,1000,1000,327491,"/$OrphanFiles/OrphanFile-327491 (deleted)"
Mon May 14 2018 11:02:24,0,.a.b,-/rrw-------,1000,1000,327497,"/$OrphanFiles/OrphanFile-327497 (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,589962,"/data/com.android.keychain/cache/TokenShare_Configuration_Status.xml (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,589962,"/data/com.google.android.gms/app_chimera/m/00000000/EmailProvider.db-journal (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,589962,"/data/iSA.common/fb416d37-7e21-4c1e-99d0-3842bc2609be (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,590568,"/data/com.android.bluetooth/shared_prefs/b0000000000d00041 (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,590568,"/data/com.android.keychain/cache/track_process_start.xml (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,590568,"/data/com.sec.factory/shared_prefs/5AF1CA9E01CA-0001-44AB-F8698B36F2F5SessionUser.cls (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,r/rrw-rw----,10175,10175,590568,"/data/com.sec.factory/shared_prefs/5AF1CA9E01CA-0001-44AB-F8698B36F2F5SessionUser.cls_temp (deleted)"
Mon May 14 2018 11:02:25,0,.a.b,-/drwx------,10104,10104,65642,"/$OrphanFiles/OrphanFile-65642 (deleted)"
Mon May 14 2018 11:02:26,0,.a.b,r/rrw-rw----,10199,10199,590427,"/data/com.samsung.android.communicationservice/shared_prefs/szen9a7qOd3WuvBUwgHHr5q5-Lc (deleted)"
Mon May 14 2018 11:02:27,0,.a.b,d/rrw-------,1000,1000,326558,"/media/0/Voice Recorder/.393857 (deleted)"
Mon May 14 2018 11:02:28,0,.a.b,-/rrw-------,1000,1000,327504,"/$OrphanFiles/OrphanFile-327504 (deleted)"
Mon May 14 2018 11:02:28,0,.a.b,r/rrw-rw----,10015,10015,654801,"/data/com.facebook.appmanager/app_qe_sessionless/SamsungAnalyticsPrefs.xml (deleted)"
Mon May 14 2018 11:02:29,0,.a.b,-/rrw-------,1000,1000,326444,"/$OrphanFiles/OrphanFile-326444 (deleted)"
Mon May 14 2018 11:02:29,0,.a.b,-/rrw-------,1000,1000,326445,"/$OrphanFiles/OrphanFile-326445 (deleted)"
Mon May 14 2018 11:02:29,0,.a.b,-/rrw-rw----,10164,10164,523565,"/$OrphanFiles/OrphanFile-523565 (deleted)"
Mon May 14 2018 11:02:29,0,.a.b,r/rrw-rw----,10015,10015,654675,"/data/com.facebook.appmanager/app_qe_sessionless/SamsungAppsPreferences.xml.bak (deleted)"
Mon May 14 2018 11:02:29,0,.a.b,d/rrw-rw----,10015,10015,654675,"/data/com.samsung.android.sm/shared_prefs/skype-7978 (deleted)"
Mon May 14 2018 11:02:30,0,.a.b,-/rrw-rw----,1002,3008,136044,"/$OrphanFiles/OrphanFile-136044 (deleted)"
Mon May 14 2018 11:02:31,0,.a.b,-/rrw-------,1000,1000,326459,"/$OrphanFiles/OrphanFile-326459 (deleted)"
Mon May 14 2018 11:02:32,0,.a.b,r/rrw-------,10028,10028,654790,"/data/com.sec.svoice.lang.en_US/files/en_US/am/experiment-flags-regular-jpinkman2018@gmail.com (deleted)"
Mon May 14 2018 11:02:34,0,.a.b,-/rrw-------,1000,1000,326473,"/$OrphanFiles/OrphanFile-326473 (deleted)"
Mon May 14 2018 11:02:35,0,.a.b,-/rrw-------,1000,1000,326458,"/$OrphanFiles/OrphanFile-326458 (deleted)"
Mon May 14 2018 11:02:35,0,m.c.,-/rrw-------,1000,1000,327504,"/$OrphanFiles/OrphanFile-327504 (deleted)"
Mon May 14 2018 11:02:35,0,.a.b,d/drwxr-xr-x,1000,1000,655299,"/data/com.samsung.android.scloud.backup/code_cache/com.google.android.gms-1 (deleted)"
Mon May 14 2018 11:02:35,0,.a.b,r/drwxr-xr-x,1000,1000,655299,"/data/com.trustonic.tuiservice/code_cache/persisted_config (deleted)"
Mon May 14 2018 11:02:36,0,.a.b,-/rrw-------,1000,1000,326471,"/$OrphanFiles/OrphanFile-326471 (deleted)"
Mon May 14 2018 11:02:37,0,.a.b,-/rrw-------,1000,1000,326457,"/$OrphanFiles/OrphanFile-326457 (deleted)"
Mon May 14 2018 11:02:37,0,.a.b,-/rrw-------,1000,1000,326481,"/$OrphanFiles/OrphanFile-326481 (deleted)"
Mon May 14 2018 11:02:38,0,.a.b,-/rrw-------,1000,1000,326517,"/$OrphanFiles/OrphanFile-326517 (deleted)"
